レス番号,内容,感情スコア
6,マンチェスター・シティがアイントラハト・フランクフルトのストライカーオマール・マルムーシュに夏移籍のオファーを出したとFoot Mercatoが報じているアーセナルトッテナム・ホットスパーリヴァプールもこの25歳の選手に興味を示しておりマルムーシュはシティのプロジェクトに興奮しているようですでに経営陣と話し合っているようだ,-4
7,マルムシュって左に張らせるタイプでもないから ほぼほぼアルバレスの後釜だろうけど そこなんだ,-3
8,失点も問題やが点とれないのも問題なのでマルムシ来るなら喜ばしい ボブ復帰は2月らしいし,-4
9,ブンデスMVPデブライネ獲った時くらいの期待感だよマルムシュ ぜひシティでやろう,-4
10,そんなにか ほぼシティのゲームしか見ないから評価できるほどわからんぜ,3
11,速報 ManCityオマール・マルムーシュの獲得に向けてアイントラハト・フランクフルトと合意に近づいており同選手に約5000万ポンドを支払う用意がある [経由 ] エジプトの子マジできそうやん,-4
12,冬に獲ったらアホと言わざるを得ない,4
13,先に取るべきは中盤だろどう考えても 大丈夫かマジで,4
14,アルバレスマルムシュ デブライネ ウォーカー ギュンドアン ストーンズ アケ グリ ベルナルド 一気に入れ替えになるな そもそもおっさんすぎるんよスカッドが,-3
1,メイヌーが週給20万ポンド要求してて フロントは売りに出そうとしてるらしい,0
2,それデイリーメールの記者だから信用度は落ちる そもそも昨年契約したばっかで2027年1年オプション付きだしメイヌー,4
3,なら売ればいいよ,-4
4,メイヌー俺はマウントより試合に出てるんだぞ,-4
5,前例があるのに同じ失敗を繰り返す 次はどういう失敗をするのかな,1
6,オンスタからも来てるな 主にPSR遵守するには純利益になれるガルナチョメイヌーの売却も検討してるって内容だけど 誰か売らないと補強は厳しそうだ,-2
7,まぁさすがにガルナチョとメイヌーならポジション的にガルナチョの方が売られそうだけどな メイヌーは出さないと思うが 一番はラッシュを売れる事なんだけどねぇ,-4
8,ロマーノオンスタもメイヌーでも売らないとユナイテッドは財政違反になるという発言来たな チェルシーが高値で買い取ってくれるようだが,-4
9,チェルシーはマウントを買ってくれよ,-4
10,メイヌー程度の成績で週給20万ポンドなんてチェルシーが出すわけないから買うところないわ PSRのためにチェルシーがアカデミー選手を売りまくったように売らなきゃ選手入れ替えのための使えるお金の枠がないのは同じだなこれは,2
11,メイヌーの脱出計画は果たしてどうなるのか,-4
12,厳密には来季以降の補強の為に売りたいって感じだろ 現時点では違反してないし,-4
13,つうかコアサポがオーナー批判してるな さすがにユース産のメイヌーはアンタッチャブルだったか,-1
14,メイヌーはチェルシー行きたい,-4
15,パーマーとトレードならいいよ,-4
16,チケット代値上げ 社員大幅リストラ サポにサブスク強要 でアンタッチャブルなアカデミー産まで売ろうとしてるわけよ イネオスの信念ってのは金儲けだけなのか,-1
17,メイヌー週給200k要求 お別れの準備しないとね,0
18,そういうの呑んだら調子乗るからキッパリとはねつけないと,-1
19,そりゃお別れやな さっさと売っていい,-2
20,カゼミロ350k ブルーノ300k ラッシュ300k マウント250k アントニー200kメイヌーの要求額 デリフト195k マグワイア190k,-4
21,チーム内で比較して高い安いになるからなあ 活躍すれば気前よく上げてくれるクラブなんだからもうちょい安い金額でのんでくれよ マウントとアントニーは負の遺産だわ,-3
22,PSR遵守のためにアカデミー産選手を売る可能性があるというのはオンスタが言っていること メイヌーが週給20万ポンド要求チェルシーが獲得狙っているはデイリー・メールの記者が言ってること,-4
23,まぁ残る理由が金しか無いな,-1
24,ちっちゃい頃からユナイテッドアカデミーに居るから お前の発想は次元が低すぎる,2
25,1人でも高い給料払ったら代理人は高額要求するのなんて当たり前だからな新戦力だけじゃなくたいした活躍してないやつも意味不明な延長してバカみたいな金を払い続けてるフロントがくそ本当に替えの効かないエース格以外は給料渋って放出すんのが普通の賢いクラブ,-2
26,メイヌーはそんくらいの価値あるかもしれんけどまだ10代だからな 下手したらキャッシュフォードみたいになっちゃうから,-1
27,デイリーメールソースの時点で馬鹿馬鹿しいが 仮にメイヌー(現在週給2万ポンド)の望む週給20万ポンドで延長したら ラッシュコース不可避ですなぁ ちなみにラッシュは18歳で週給2万ポンド21歳で週給20万ポンド そして26歳で現在の週給30万ポンドになりましたとさ,-4
28,逆にラシュフォードという前例があるのになぜバカバカしいと一蹴できるぼか ラシュフォードのときより大幅に成績悪化して残留する価値も下がってるんだから 何ならもっと高給要求してもおかしくないだろ,4
29,チェルシーのやつらは若くて4大リーグで既に活躍した実績あるやつがほとんどだからまだ買い手がつくけどユナイテッドはパフォーマンスがくそな上にろくな実績ないか年齢も給料もアホみたいに高くて売れない,4
30,今となっては禁止された8年契約で給料抑えているのが大きいな,-4
31,別に禁止されてないよ 財務ルールの計上が5年換算になっただけ,-3
32,メイヌーチェルシーは眉唾だがメイヌークラスを売らなきゃルール違反になる財務状況というのはオーンスタインが断言している以上ほぼ間違いない アモリム用のスカッドとか夢のまた夢だな,-3
1,インドネシアサッカー協会(PSSI)は8日同国代表の新監督にパトリック・クライファート氏が就任することを発表した FIFAワールドカップ26アジア最終予選で日本代表と同じグループCに入ったインドネシア代表は第6節終了時点で1勝3分2敗・勝ち点6の3位につけているしかし昨年12月に開催された東南アジアカップ(三菱電機カップ)ではベトナム代表とフィリピン代表の後塵を拝する形でグループステージ敗退の憂き目に6日には2020年から指揮を執っていたシン・テヨン監督の解任が発表されていた 3月のアジア最終予選の再開を約2カ月後に控えPSSIはクライファート氏をインドネシア代表の新監督に任命したことを発表契約期間は2027年までとなっているなお同氏がアジアのナショナルチームの監督を務めるのは今回が初となる 現在48歳のクライファート氏は現役時代にアヤックスやミランバルセロナなどで活躍しオランダ代表として国際Aマッチ通算79試合出場40ゴール7アシストをマーク2008年の引退後はAZやブリスベン・ロアーNECのコーチを経て2012年夏にオランダ代表のアシスタントコーチに就任しルイス・ファン・ハール監督とともにFIFAワールドカップブラジル2014でのベスト4進出に貢献した その後はアヤックスの下部組織の監督やパリ・サンジェルマン(PSG)のスポーツディレクターバルセロナのアカデミーマネージャーなどを歴任直近では2023年7月から12月までトルコのアダナ・デミスポルを率いていた なおインドネシア代表は昨年11月にホームで日本代表と対戦し04で敗北今年6月10日には再戦が控えている,-4
2,インドネシアのオランダ化,-4
3,クライファート懐かしいな,-4
4,ダメそうな予感しかない,4
5,韓国人監督で上手くまわってるよーにみえてたけど,-2
6,息子は活躍しとるか,-4
7,息子 EPLで普通にやれてるだけでも成功したと言えるじゃないかと ただ父を超えるのは無理だろうな 偉大過ぎる あの時代の選手を父にもつ2世選手が今イタリアに大集合してる 特にユーヴェ,-4
8,絶対非オランダ系から不満出るわ 成績悪かったらナショナリズムでブッ叩かれる,4
9,どんなサッカーすんだろ ファンハールみたいなポジションガチガチのシステマチックなスタイルかな,-4
10,クライファートが監督ならインドネシア代表でプレーしてもいいよっていうオランダ人目当てでもあるのか,-4
11,そういう選手もいるだろうけどめぼしいのは既にオランイェで何試合も出場して他の代表になれる資格がないだろうね いいとこU代表止まりぐらいしか呼べないと思う,0
12,スタメンで地元勢は2人ぐらいだから オランダ人監督連れてくるのは自然な流れだけど,-4
13,サッカーなんてW杯優勝国でも一歩進んで二歩下がるのが当たり前なのに結局一足飛びしようとして失敗から得られる経験すら手放すんだな,4
14,まだ若いからなのか知らんけどコーチングキャリアが アシスタントだのユースだので本格的な監督仕事が少ないね,3
15,有名だけど無能な監督を連れてきたな まだ前任の韓国人の方がマシだと思うぞ,-2
16,オランダ化を加速する方針で決めたんだな クライファートがオランダ25軍で満足出来るかどうか,-4
17,オランダA代表はとても無理な選手を集めて帰化させるのか まあそれも一つの方法ではあるけどさあw,-3
18,つか日系インドネシア人も居そうだけど Jリーガーに居ないのかな,-1
19,松田力・陸がインドネシアハーフだけど日本は2重国籍を認めてないから無理だわな,3
20,2人ともA代表歴はないから資格はあるよ ただしその場合は日本国籍を捨てる(インドネシアサッカー協会所属になる)ことが条件だけど 猫ひろしみたいに,-4
21,日本代表を目指す目指さない以前に日本国籍を捨てるデメリットの方が大きいな インドネシア代表にならない限りインドネシア国籍選ぶメリット無いだろ,1
22,家庭があるし子供からしたらいきなりインドネシア国籍とか嫌だろね 彼らは代表で十分やれるだろうけど 年齢的にこれがラストチャンスだね,-4
23,日本に勝つ気なら無能確実に崩壊する W杯出場目指すなら普通がんばれ,-4
24,本命は両親ともインドネシア系のファン・ブロンクホルストなんだろうけど 今はベシクタシュでやってるからな(あんまり成績良くないから切られるかもしれんが) クライフェルトの後とかいずれはやると思う,-4
25,八塚さんが小錦認定してた人か いつぞやの試合のベンチに座ってる顔がそっくりやったな,-4
26,でも実際いい選択じゃないのオランダ帰化連中はかなりプライド高いんだろうな クライフェルトは飾りでコーチ連中が優秀な感じなんだろうな クライフェルトなら逆らえないんだろう,-2
27,インドネシアは次はオーストラリアとバーレーンだっけ,-4
28,そそ アウェイOZの後でホーム6月はホーム中国アウェイ日本,-4
29,有名じゃなくても結果残してる監督選べばいいのに ミーハーなんだろうな会長が,-3
30,オランダ路線継続か,-4
1,強すぎてワロタ 一体何連勝してるんだ今,-4
2,まリーグは中位以下相手だから多少はね,3
3,ドゥブラフカありがとう,-4
4,エミレーツでの初勝利ブルーノなしでの初勝利しかも20 まじで強くて草 ブルーノが子供抱きながらチャント歌ってる動画かわええ,-4
5,これずっと見てられるw,-4
6,ホームでこれは痛いな 中の雰囲気相当悪そう,4
7,サカがいないって こういうことだよね,0
8,U字攻撃しかやらんから対策されてんだよ,2
9,ライン間で前向ける選手がいないからね,0
10,ビルドに問題があるんじゃねーのかね 見事にかわしているとは思うけど時間かかり過ぎて相手が完全に帰陣してんだよな これで持たされている環境が仕上がって押し込んでいる風な形が出来てるんだろな 数的有利とか皆無だし剥がすのも辛いわ 相手からするとカウンターしやすい土壌まで作れる仕様でワロ これは完敗,3
11,負けてもいいんだけど こういうの朝から見たくなかったな,3
12,まぁイサクがうまかったな 後半立ち上がりペース上げきれなかったのとなぜかジェズスは中なのは気になった 2戦目考えて1点差にしときたかったくらい,-4
13,うーん決定力の差でしたね クオリティの差 そりゃイサクほしいゴードンほしいってみんないうわ,-3
14,はーこの内容でこの結果は辛いな こうなると次はシティ戦後の中2日でセントジェームズだし考えなきゃだな ブライトン戦フルのトーマス下げたくらいで諦めたとか笑えること言ってたやつもいたけどここまで結果出て次を考えるもんなんだよ もう見えないから反論してこなくていいけど,2
15,足元でつないでサカの個人頼みっていう攻撃パターンなんだよな サカがいないとマジで点が入らん,3
16,気になったのハヴァーツがサイドに流れすぎだったね,-3
17,右サイドのハヴァーツって 驚くほど脅威じゃないよね,-2
18,Arsenal (376) 02 (153) Newcastle いつもはチャンス少ねえって話だけど今日はそこの部分でストレスは無かったから決定力の差だったな マルが先に決めてたらな,-4
19,xG376もあったのほな決めないのが悪いな,4
20,ジェズス復帰でなんとか耐えてるがネッリもトロもコンディションイマイチだしスターリングも死んでるしサカいなくなって好調な選手が前線にいないのもきちいな ハヴァーツは良くも悪くも無難でCFではないんだよな何もないとこからゴール生み出すことはできないからな,3
21,右はマルよりカイの方がいいのは予想外 ジェズス以外試したけどトロが妥協案かな,-4
22,シュート打ちまくったけどもう少し枠内ほしかったな 枠内少なすぎた,2
23,まあ病気で寝こんでいたハヴァーツ他思いの外動けていたのはよかった 体力戻っていないと思っていたので,-3
24,イサクが選手押してスペース作るの上手かった1点目,-4
25,イサクは自分の長い手足使うの上手いよな ハイボール納める時も長い腕上手く使って相手押さえながら足元の技術で上手く収まる プレミアきてその辺がさらに成長したわ,-4
26,ジェズスは好調といってもやっぱりサイズないから 今日は中で前向けなかったな 背負ってうけるまではできていたけどターンしてシュートってところまでいけなかった,4
27,しかし新城もハウもお得意様だったのにマイナスマイナスで本当に嫌な相手になったもんだな 前半戦リーグで戦ったときもそれまでの新城の守備ガッタガタだったのにビシッと仕上げてきてたし あと2回もやりたくねえわ,4
28,体調不良組はコンディション上がってそうだった,0
29,スケリーは良かったけどハヴァーツとウデゴはトラップズレまくりでなかなか厳しかった,4
30,ウーデゴールも中々コンディション上がらないね マンU戦も微妙そうだけどリーグ戦迄には何とかコンディション戻して欲しいな,0
31,サカ不在ハヴァーツウデゴが回復しきっていないなか違い生み出さなくても チャンス自体多く作れるところはアルテタのチーム作りの成果とは思った,-4
32,スケリーはやはりプレス耐性高いな この強みあるからジンチェンコより序列上になった感じ,-4
33,ウデゴはやっと練習参加できたばかりみたいだしキツそうだね,4
34,次のFAカップユナイテッド戦はメンバーどうするかな 中4日あるけど次のノーロンが中2日 半分くらい入れ替えるかなぁ,-4
35,だからイサクとゴードンを取れと言ったろう,-4
36,イサクはYoutubeでは凄かったけど当時のソシエダで腐ってて第二のペペだろとか言われてたし ゴードンなんか獲れって言ってた奴を見た記憶がないw,1
37,エバートン時代ならとれたよな,-4
38,イサクもゴードンもニューカッスルで本格的に化けたからそこはハウの手腕もあるかなぁと,-4
39,負けるのはいいんだけどベスメンか,-3
40,ニューカッスルはウイングが頑張ってプレスバックしてサイドの守備ヘルプして CBはできるだけボックスから外にでないで中固める守り方だったから なかなか中固かった アーセナルもしっかり守り時は同じ守り方するけど,-4
41,ニューカッスルはトナーリががっちりハマってしまったので ギマランイスジョエリントントナーリの中盤の強さ上手さは厄介 次の対戦ではギマランイス戻ってくるしもっと苦労するかなと,-4
1,かつてはアジアも席巻し中国最大のビッグクラブとしても名を馳せ広州恒大として活動していた広州FCが解散を発表した中国捜狐(sohucom)が伝えた 中国スーパーリーグで歴代最多の8度の優勝を誇りAFCチャンピオンズリーグ(ACL)でも2度優勝中国バブル期には爆買いする他の多くのクラブを制して ブラジルの選手を中心に席巻していた 中国の不動産大手である恒大集団 が保有しその資金を利用して元イタリア代表監督のマルチェロ・リッピ氏を招へいするとその後はファビオ・カンナバーロ氏が 監督を務めるなどした しかしコロナ禍において中国の不動産バブルが崩壊すると2020年には経営危機が報じられ2021年には中国サッカー協会(CFA)の意向によりクラブ名に企業名を 入れない方針となったことから広州FCに名称が変更2022年には恒大集団の財政難により外国籍選手との契約を全て解除するなどし一気にチームが弱体化 2023年からは2部を戦っていた 広州FCは6日チームの解散を発表CFAが発表した2025シーズンのクラブライセンスの条件を満たせずチームも消滅した 親愛なるファンパートナーそしてあらゆる立場の人々の皆様中国サッカー協会が発表した2025年のプロサッカークラブ入会リストによると当クラブは入会を 認められておらず中国のプロフットボールリーグで競技を続けることはできないこととなりました 中国プロサッカーリーグに参加して以来クラブは浮き沈みを乗り越え粘り強く戦い続け中国スーパーリーグ8度制覇AFCチャンピオンズリーグ2度制覇という 偉業を達成しその名を轟かせましたアジアサッカー界で強い広州FCこれらの輝かしい成果は選手たちの汗と努力コーチングチームの戦略的で細心の 注意を払った傑作そしてファンの粘り強さと熱狂的なサポートの証です同時に我々は青少年の育成システムを深く構築しクラブの潜在的な新スターを多数育成し チームの持続可能な発展に強力な推進力を注入しました 新シーズンのプロリーグ参入を目指してクラブは様々な取り組みを行っていましたしかし過去に多額の負債を抱えていたため調達した資金では負債を完済するには 不十分であり最終的にライセンスを得ることができず非常に残念に思っていますここに広州FCを気遣いサポートしてくださっているあらゆる立場のすべての人々 そしてすべてのファンと友人に心からのお詫びの意を表したいと思います 同時に我々は当初の意図を変えることなく余波に対処し中国サッカーと広東省広州サッカーの発展を支援するつもりですのでご理解と寛容に感謝いたします なお中国スーパーリーグの滄州雄獅中国乙級リーグ(中国3部)の湖南湘涛もライセンスを取得できず解散を発表している,-2
2,中国経済ガチ崩壊してきてるのか,4
3,育成学校の規模が凄まじいんだよな あと新スタも造ってる途中だった 完成して欲しかったな,-4
4,あんなに人口多くてあんなにサッカー好きな国なのに永遠にサッカー弱小国で終わるのかな,4
5,親会社の恒大集団が2021年にそもそも債務不履行で21年の段階で債務が34兆と言われてたのにむしろサッカーチームがよく24年の終わりまで持ったなw 外国人は親会社が崩壊した時に早々にクビにしたらしいけど,-2
6,選手に金払えなくなってからけっこう長くもったなw,-4
7,あれだけ有名選手爆買いしてた中国クラブがすっかり大人しくなったもんな 相当経済状況が悪いと思われる,3
8,コロナ前から選手大量放出してて中国経済ヤベーんじゃないかって言われてたよな,0
9,フッキの上海やパウリーニョが凄かっただけで中国雑魚のままだしなこんなのいつまでも続くわけない,0
10,中国サッカーはまじでバブルだったな,-4
11,リーグと年俸のバランスがおかしかったから無くなってよかったあとはサウジアラビアリーグとかもどうにかしてほしいわ,-4
12,サウジアラビアは政府系ファンドが付いてるから石油が枯渇しない限りは中国みたいにはなりませんよ 中国は所詮1つの企業が金出してやってただけだから本業が傾いたら終わるだけ 恒大集団も蘇寧易購も本業が傾いたからサッカーチームが無くなった,2
13,買い手がつかなかったのか何なのか 恒大足球学校もあるしまだ解決にはならんな,4
14,負債48兆円ワロタw,-1
15,後ろを中国選手で固めて前はムリキコンカエウケソンの頃は強かったな 地味に中盤の選手も良かったし郜林もいた クラブ自体は八百長で降格くらってるようなとこだが,-3
16,このままCリーグ崩壊で中国人選手は 国内の村サッカーか海外行きじゃねえの JやKにも大量流入しそう,1
17,そんなレベルの選手いるの,-4
18,中国経済ここまで酷いことになってんのか,4
19,不動産バブルは崩壊して無人のマンションが山ほどある,1
20,日本の不動産バブルは研究し尽くした われわれ中国ではあんなことは決して起きない なお現在,-2
21,元イタリア代表監督のマルチェロリッピが広州の監督になった時は衝撃を受けたなあ 10年ちょっと前なのにもう潰れたんだ,0
22,ムリキコンカエウケソン 昔は良かった 本当に強かった,-4
23,思えばあんな無茶苦茶な補強ができたのは 不動産バブルマネーだったんだなあ,-3
24,プロスポーツの興行としては全然成り立たないよね,4
25,広州恒大も城南一和も一時代を築き消えていく 欧州以外だとそんなもんよね,-2
26,アジアスタンダードのチーム名に企業入れた 企業丸抱えチームね,-4
27,リーグ規模や収益含めて身の丈に合わない補強しだすとこうなるって事よね,0
28,中国スーパーリーグはそれなりだったのにそれが自国代表の底上げにならなかったのがねぇ,4
1,浦和レッズ 23歳で190センチの右CBみたいです国籍はデンマーク,-4
2,昨シーズンNECでリンセンがそこにいくのか,-4
3,マティアス・ロス フルネーム Mathias Ross Jensen 生年月日(年) Jan 15 2001(23) 身長 190 m 国籍 デンマーク ポジション Defender CentreBack 利き足 右 所属 AC Sparta Prague 契約 Jun 30 2025 レンタル元 Galatasaray レンタル元との契約 Jun 30 2026 市場価値 800Th tps 202425 チェコ1部 9試合0G0A 黄紙1 出場587 202324 エール・ディビジ 20試合2G0A 黄紙3 出場1036(リーグ戦) 1試合0G0A 出場90(ECL予選出場圏獲得PO) 202223 トルコ1部 0試合0G0A 出場0 膝負傷にて離脱有り 202223 デンマーク1部 8試合1G0A 黄紙2 出場667 202122 デンマーク1部 19試合1G0A 黄紙5 出場1352(リーグ戦) 8試合0G0A 黄紙3 2枚目退場1 出場611(優勝ラウンド) 1試合1G0A 出場90(ECL予選出場圏獲得PO) 202021 デンマーク1部 16試合1G0A 黄紙1 出場1015(リーグ戦) 9試合1G0A 黄紙3 出場735(残留ラウンド) 1試合0G0A 黄紙1 出場62(ECL予選出場圏獲得PO) 201920 デンマーク1部 13試合0G1A 黄紙4 出場852(リーグ戦) 10試合0G0A 黄紙2 出場835(優勝ラウンド) 201819 デンマーク1部 3試合0G0A 黄紙1 出場199(リーグ戦) 4試合0G0A 出場360(残留ラウンド) 2試合0G0A 出場161(EL予選出場圏獲得PO) tps 202122 デンマークU21代表 4試合0G0A 黄紙1 出場345 2021 デンマークU20代表 2試合0G0A 出場135 201820 デンマークU19代表 17試合0G0A 黄紙2 出場1234 201718 デンマークU17代表 10試合0G0A 出場834 tps,-4
4,全体的に出場数が少ない・・・,4
5,デンマークリーグはリーグ22PO10とかだからデンマーク時代は若い割には十分出てる 年代別のキャリア見てもエリートだったんだろうな トルコ以降苦戦してる感じかな,0
6,スパルタ・プラハのガラタサライからローンでプレーしたマティアス・ロスに驚きの求婚者が現れた 彼はガラタサライがシーズンの初めにスパルタ・プラハに借りたマティアス・ロスを熱望したイエローレッドは条件付き購入オプションで7月に23歳のディフェンダーをスパルタにレンタルしました チェコのマスコミのニュースによるとデンマークのディフェンダーのパフォーマンスは世界の反対側で注目を集めたしたがって日本の浦和レッドダイアモンドクラブはロスをチームに追加したいと考えています日本チームはスパルタ・プラハでプレーする2人のデンマークのディフェンダーに興味を持っていると述べられましたそのうちの1人はAsger Sörensenもう1人はMathias Rossです イエローレッドは2年前にデンマークのアールボーチームから選手をチームに追加しオランダのNECナイメーヘンチームに貸し出しましたロスは今シーズンスパルタ・プラハにレンタルされたがリーグで9試合チャンピオンズリーグで4試合チェコカップで1試合に出場しこれらの試合で1ゴールを決め合計1000分以上フィールドに滞在した,-4
7,デンマーク人か うちっぽい感じはする,-3
8,フレンキー・デ・ヨングみたいな顔だな,-4
9,マティアス・ロスめちゃくちゃ来なさそう,-4
10,つうかまだ23歳だしウチが探してるのは経験豊富なもっと上の年代のCBだと思う プレー動画も見たがドタドタとした走り方の俊敏性に欠けるJには合わないタイプだと思う,1
11,マティアスロスの元ネタ記事に出てるアスガー・ソーレンセンの方があり得そう 28歳でデンマーク年代別代表歴あるがA代表はなし すごくうちが手を出せそうなラインに感じる,-4
12,マリウスが127だから決まるの下旬じゃね 焦って変なの掴まされるより良いよ ただ交渉決裂したら次のプラン即決出来るくらいのB案用意しとけよ また安居が練習試合でCBやるかもしれんな,-3
13,アスガーソーレンセン 28才 190センチ 右利き デンマークの世代代表常連だった 若い頃にデンマークからザルツブルクに引き抜かれてドイツオーストリア二部暮らしが長いが怪我も少なくずっと試合に出てる 今はチェコのスパルタプラハで今年CLにも出てる プレーは得点力そこそこある ロングボール蹴るタイプ まさに壁のように跳ね返すヘディンガー 足遅い 市場価値は300万ユーロだが CLで活躍したみたいで評価は結構高いみたい 11月頃にも噂になったことがあるがkazuはスルーしてる マティアスロス 23才 190戦力 右利き デンマーク世代代表常連だった ガラタサライから色んなとこにレンタル修行中 今はスパルタプラハ 三番手CBかな プレーはヘディング得意足がかなり遅い カバーリングタイプ 足元は上手くなさそう 市場価値は80万ユーロ この人は違うかな,-4
14,ソーレンセンの連戦,-4
15,この下の選手が正解か,-4
16,足が遅いのにカバーリングタイプなんかあるんか,-4
17,先読みできるタイプなら足遅くてもカバーできるでしょ ショルツとかもそうだったと思うけど,-4
18,ロス微妙じゃね 大丈夫かよ,4
19,マティアスロス 足がかなり遅い足元は上手くなさそうて 大丈夫かこれ,0
20,ショレも第一報ではそんな反応だったな,-4
21,ここの反応はショレに対して否定的なのが多かったね,-1
22,彼らがライン統率やチームを強く鼓舞できるようなリーダーシップを発揮できる壁になりうるの,2
23,市場価値80万ユーロの格安のマティアスロスの方にオファーしてそう チェコクラブで3番手は大丈夫かと思うが現実的で取れそうな選手ではある 市場価値300万ユーロの方はそこそこ評価高いし値段も高くて取れそうにないが取れたらすごい いい選手は高いのは当然だから頑張ってソーレンセン口説いてみたら それでダメならマティアスロスにいけばいい,-4
24,オーディン・ビョルトゥフト 26才 188センチ 右利き ボーデグリムトのセンターバック ユンカーマリウスと被ってない ソルバッケンと同じ代理人 ノルウェー一筋でプレー怪我もない ビルドアップできるセンターバックらしい 空中戦は強い スピードは分からない 市場価値は120万ユーロ デンマークノルウェーのセンターバックは皆特長がヘディング強いだが ヘディング苦手な人はいるんだろうか,-4
25,現代サッカーのセンターバックは空中戦よりも地上戦と脚の速さとボールコントロールが重視されそうではある とはいえ空中戦に弱いって言われるのは見たことないなヘディングでボールを飛ばす方向のコントロールに上手下手はあるだろうが,-2
26,スコルジャの要望でポーランドリーグからの連れてくるとかないのかな 現ポーランド代表には年齢や今の所属クラブを見るとうちに来そうなCBはいないけど ポーランドリーグならうちでも獲れそうな感じの北欧や東欧の代表クラスの選手は結構いる,-4
27,マティアスロスとってもCBあと一人は欲しいけどな SBも両方できるタイプでも良いけど 橋岡か,-4
28,ロスはスピラノ系じゃね,-4
29,8番タイプを2名DMFに揃えて前に押し込むサッカーやるならハイラインになるしCBは足速くないとダメじゃないか上がってる名前の選手はいずれも足遅いし来ても早々に目指すサッカー頓挫しそうショレでもこれは無理だろうし,3
30,GKのカバー範囲がクソほど広ければその限りではない よって西川では無理,2
31,マリウスも足遅いからダブル鈍足は危険すぎる,4
32,マティアス・ロスこれ鈍足か 動画見る限りそんな遅く見えないけど ハイボールに強くてロングボール蹴れるし結構良さげだけど,-4
33,こんな感じ,0
34,取り引き相手がスパルタ・プラハじゃなくてガラタサライだから無駄に高いな,4
35,ソーレンセン,-3
36,AccelerationとAgilityは若干だがソーレンセンよりロスの方が上か,-4
37,足が速いに越したことはないけどラインコントロールと予測が上手ければそれなりに背後のカバー出来るよ,-4
38,正直ソーレンセンかオーディンの方を欲しいけどロスに決まったら応援する まだ若いからサヴィオみたいに化ける可能性あるし,-4
39,マティアス・ロスのスパルタプラハに移籍した時に紹介された動画 前線に上がっても仕事できそうなくらいに足元もあるし良い選手じゃん,-4
40,CBと思えないほどシュート上手い,-4
41,見るかぎり足元上手いじゃん CBなのに攻撃的シーンばっかなのはちょっと気になるが動画編集者の問題か,3
42,足元CBにしては相当上手くないか てかボランチみたいなプレーもしてんな,-4
43,でもCBの獲得がロスだったらかなり良い選手には当てはまらなくないか あの言い方からして知名度がそれなりに無いとおかしい,0
44,うちが欲しいのってソーレンセンみたいなタイプじゃないか,-4
45,動画観る限りはかなり良い選手だな まぁプレー集だから当たり前だが観ちゃうと欲しくなるな,-4
46,もしロスとソーレンセンどちらかならソーレンセンの方が経験もあって数年いてくれそうで良いな 右SBはさっさと橋岡か室屋を,-4
47,ソーレンセンはドイツ2部とチェコクラブで実績がある 気になる点は軽い怪我がかなり多い 14試合スタメンで出て負傷欠場してまた14試合出て負傷欠場を今季5回も繰りかえしてる 軽い怪我だからすぐ復帰してるようだがまたすぐ欠場してる マティアスロスはあまり試合に出てない 最近はベンチ外とフルベンチばかりだから簡単に取れそう 負傷は少ない,-4
48,出た試合きっちり仕事してくれるなら怪我多くてもいいや他の選手との競争にもなるし でもロスのが若くてロマンあるかね,-4
1,インドネシアサッカー協会は現地時間6日にサッカーインドネシア代表のシン・テヨン監督を解任すると発表したCNN Indonesiaはインドネシアサッカー協会のエリック・トヒル会長がシン・テヨン監督の後任について言及した記者会見のコメントについて報じていた 最新順位表2026年ワールドカップ(W杯)アジア最終予選 19年にインドネシア代表の監督に就任したシン・テヨン氏就任直後はなかなかA代表では結果が出なかったものの東南アジア選手権で準優勝昨年1月に開催されたアジアカップ2023ではグループリーグで日本に敗れたが初のベスト16進出を決めている インドネシアをFIFAワールドカップ26アジア最終予選(3次予選)の舞台に導いたが6試合を消化した段階で1勝3分2敗となかなか勝利できず苦しい状況が続いていた インドネシアサッカー協会のエリック・トヒル会長はもちろんシン・テヨン監督のこれまでのパフォーマンスに感謝したいと思う私たちの関係は非常に良好で希望のプログラムに向けて最善を尽くしていたと述べた上でしかしもちろん代表チームのダイナミクスには我々の評価において特別な注意が必要だ我々はより組織的な戦略を実行でき選手たちとより良いコミュニケーションを確立できるリーダーの必要性を認識していると解任理由について伝えていた また我々は監督候補者を決めた12日の記者会見にすべてのメディアを招待するつもりだと後任監督の発表を12日に行うことも合わせて報じているなおサッカー日本代表とインドネシア代表は6月10日のアジア最終予選最終節で対戦する予定だ,-3
2,オランダ人監督呼んだ方が良いわな,-4
3,サウジに勝ったのに,3
4,変えたらワンチャン出場権とれるかもとか思ってんのかね 実質2位タイグループにいる時点でかなり上出来な部類だろうに,-3
5,どしどしオランダ人選手入れるために オランダ人監督呼ぶらしいぞw まあ韓国人の言うことは聞かんだろう,-4
6,まだ間に合う,-2
7,中国は帰化組で大補強したのに結局最下位とかありえそうだから困る・・・,4
8,動画とかでインドネシア人が自分らのことをキングインドって言ってるのが意味わからん,3
9,意味はないよ日本のサムライブルーとかと同じ感じの呼称よ 去年W杯最終予選まできてマスコミが名付けたのが広がったそうな,-4
10,サムライブルーに相当するチームのニックネームはガルーダズじゃないの,-4
