number,text,sentiment,sentiment_score,stance,stance_score
69,バユンドゥルの評価難しいな キック良くなれば逆にスタメンの可能性ふらある,NEUTRAL (0.209),0.209,強く反対 (0.294),0.294
70,10人でよく耐えました,NEGATIVE (0.447),0.447,強く賛成 (0.285),0.285
71,ここまでボーナスステージのPKは初めて見た,NEUTRAL (0.781),0.781,強く賛成 (0.248),0.248
72,ラヤさんきゅーな バユンドゥルはあのPKストップから神だった,POSITIVE (0.863),0.863,賛成 (0.255),0.255
73,審判ざまぁ,NEGATIVE (0.762),0.762,強く反対 (0.299),0.299
74,ほんとそれな,NEUTRAL (0.720),0.72,強く反対 (0.272),0.272
75,アルテタまた無冠確定っぽい,NEUTRAL (0.371),0.371,強く反対 (0.261),0.261
76,ふざけたユニに勝って良かった 水沼はユナイテッド贔屓してくれるよな割と,POSITIVE (0.901),0.901,賛成 (0.254),0.254
77,今シーズンもFAカップGETだぜ アモリムの情熱サッカー最高,POSITIVE (0.974),0.974,強く賛成 (0.234),0.234
78,バインディルいつかのフォスター級に印象残したなぁ,POSITIVE (0.507),0.507,強く反対 (0.303),0.303
79,バュンドゥルはキック死ぬほど練習しろ,NEUTRAL (0.973),0.973,強く反対 (0.278),0.278
80,マグワイアの笑顔で全て報われたな,POSITIVE (0.896),0.896,強く反対 (0.271),0.271
81,マズラウィもいろんなポジションよくこなしたわ ここはほんと神補強,POSITIVE (0.977),0.977,強く反対 (0.264),0.264
82,ラヤは全部逆というか そっち蹴ってくださいってやってくれてたな,POSITIVE (0.882),0.882,強く反対 (0.268),0.268
83,単に動き出しが早すぎてキッカーに逆取られただけ 下手くそでびっくりしたわ,NEUTRAL (0.292),0.292,強く反対 (0.253),0.253
84,マグワイアもよかったぞ あのPKは気の毒だったが,POSITIVE (0.899),0.899,強く反対 (0.263),0.263
85,PKだけはオナナよりバユンドゥルやな,NEUTRAL (0.597),0.597,強く反対 (0.295),0.295
86,最後ジルクで締めるの良かったな これを機にスタメン奪取頑張ってくれ 今日ジルクゼーずっと良かった ポジション取りが上手い,POSITIVE (0.979),0.979,強く反対 (0.263),0.263
87,八百長疑うくらい動くの早くて面白すぎる,POSITIVE (0.978),0.978,強く反対 (0.303),0.303
88,逆に打つだけで絶対決まるもんなここまで動くと,NEUTRAL (0.972),0.972,強く反対 (0.274),0.274
89,こんなの草サッカーでも中々観れない,NEGATIVE (0.958),0.958,強く反対 (0.268),0.268
90,こんな速いと思わなかったwww,NEUTRAL (0.746),0.746,強く反対 (0.270),0.27
91,マジでPKの間ずっと笑ってお腹痛いわwww なんだあれ今年初笑いだろ,NEUTRAL (0.033),0.033,強く反対 (0.244),0.244
92,ダロト以外何の不満もないしよく戦ったと思うが 11人でアーセナル相手にどういう試合するのか 見たかったんだがなあ,NEUTRAL (0.280),0.28,強く賛成 (0.266),0.266
93,走らない奴追い出すだけでこれ 退場なかったら普通に戦えてたな,POSITIVE (0.944),0.944,強く反対 (0.263),0.263
94,マズラウィすごすぎ 怪我しないでリカバリーに専念してほしい,POSITIVE (0.772),0.772,強く反対 (0.278),0.278
95,どんなポジションもやってくれるしセンスあるしすごいよな,POSITIVE (0.979),0.979,強く反対 (0.267),0.267
96,シティーに勝つ 首位リヴァポに引き分ける 2位アーセナルに人数少なくて勝つ アモリムには期待できそうだな 今のところ主力とサブというよりは総力戦になっていろいろ試せるのもでかい みんなやる気出して走ってるよ ラッシュは何をもめてしまったんだろうな・・・,NEGATIVE (0.514),0.514,賛成 (0.254),0.254
97,次レスターだって,NEUTRAL (0.429),0.429,強く反対 (0.273),0.273
98,マズラウィ神すぎた 何回ポジションチェンジしとんねん,POSITIVE (0.762),0.762,強く反対 (0.274),0.274
99,やっぱりポスト性能はザークツィーの方が上だな つーかホイルンドが明確に勝ってるとこ守備だけ まぁどんぐりの背比べだからちゃんとしたストライカーは必須だけど,NEUTRAL (0.941),0.941,強く反対 (0.284),0.284
100,今日も名勝負でした アモリムの守備構築あってこそ運も味方したな コリア凄い良い選手だからもっと使ったらええのに,POSITIVE (0.940),0.94,強く反対 (0.265),0.265
1,泥臭く勝っていくのが大事よこのチームは特に,POSITIVE (0.785),0.785,強く反対 (0.267),0.267
2,いろんな選手が出てくるのはほんと楽しい やっぱり現代サッカーは総力戦よ 交代5人で16人だもん,POSITIVE (0.936),0.936,強く反対 (0.283),0.283
3,延長入ったとこで寝たけどPKまで行けば勝つとは思ってたおめでとう アーセナルはハヴァーツが深刻だな,NEGATIVE (0.918),0.918,強く反対 (0.289),0.289
4,ガルナチョ今季あって変な焦りみたいなのがなくなって良い判断出来るようになってきてる,POSITIVE (0.896),0.896,強く反対 (0.276),0.276
5,ハヴァーツ君の今日のプレーはユナイテッド愛に溢れてたけど普通にアモリムシステムのもとでちょっと見てみたいな,POSITIVE (0.757),0.757,強く反対 (0.269),0.269
6,クソ審判がいながらよく勝ったわみんな気持ち入ってた バユンドゥルのヘディングのセーブデヘアのセビージャ戦の神セーブ思い出した,POSITIVE (0.867),0.867,強く反対 (0.269),0.269
7,副審がまともだったのが幸いだったな オフサイド無かったら負けてた,NEUTRAL (0.219),0.219,強く反対 (0.278),0.278
8,見たことないくらいヤバイ審判だったな,NEUTRAL (0.383),0.383,強く反対 (0.273),0.273
9,アモリムも試合後のインタビューでニヤけてたな,NEGATIVE (0.436),0.436,強く反対 (0.266),0.266
10,Xの公式がJusticeを固定ツイートにしてて草,NEUTRAL (0.473),0.473,反対 (0.277),0.277
11,勝敗より戦えてだのがでかいわ 次へのステップになる これで中位より下に何試合か勝てばのってけるぞ,POSITIVE (0.929),0.929,強く反対 (0.262),0.262
12,負けたかーカイ外しすぎた,NEGATIVE (0.951),0.951,強く反対 (0.282),0.282
13,まあCLのトーナメントに向けていい経験になったんじゃね,POSITIVE (0.957),0.957,強く賛成 (0.274),0.274
14,決勝T残れたとして疲労で似たような試合して負けそうなのが辛い,NEGATIVE (0.990),0.99,強く反対 (0.286),0.286
15,まあ長期的に見たらプラスと思おう 補強だけはマジでたのむ,NEGATIVE (0.805),0.805,強く反対 (0.255),0.255
16,全てとは言わないにしてもこの試合で失える全てを失った試合だったな もうそれ以上言う事は無いわ,NEGATIVE (0.335),0.335,強く反対 (0.258),0.258
17,これでハヴァーツが不調に陥ったらさらに詰む,NEGATIVE (0.114),0.114,賛成 (0.243),0.243
18,PKはハインが1番期待感あったな,NEUTRAL (0.237),0.237,強く反対 (0.305),0.305
19,ラヤも酷いけどあれだけ決定機外し続ける攻撃陣もアカンわ,NEGATIVE (0.976),0.976,強く反対 (0.254),0.254
20,ラヤだとPK戦になった時点で負けだな,NEGATIVE (0.681),0.681,強く反対 (0.308),0.308
21,まぁPKは通常含めキーパーがうまかったな そこまで悪い場所ではなかった とりあえず消耗するとこが減ったのは良かった しかし相手含め今シーズンの運の無さは逆におもろい,POSITIVE (0.707),0.707,強く反対 (0.254),0.254
22,ラヤ動くの早いし 45で蹴りにくい利き足側に飛んだな,POSITIVE (0.019),0.019,強く反対 (0.272),0.272
23,PKはまあしゃあない その前に決めきれないのが全て,NEGATIVE (0.850),0.85,強く反対 (0.244),0.244
24,ポルト戦まではバレてなかっただけでもうラヤでPK戦は勝てない バイエルン戦からずっと飛ぶの早いのバレてる,POSITIVE (0.031),0.031,強く反対 (0.296),0.296
25,ジェズスが長期間アウトっぽくてジョルジも交代時鼠径部気にしていたから最悪長期離脱コース とりあえずビエイラレンタルバックと冬補強必須だな,NEGATIVE (0.304),0.304,強く反対 (0.270),0.27
26,カラバオFAあったらスケジュールヤバいだろ CLとリーグ戦が重要 FAカップとったテンハグ首になってるから無駄,NEGATIVE (0.975),0.975,強く反対 (0.256),0.256
27,今日の試合はPKまでもつれ込んだ事が問題でPKの結果は問題じゃない 相手10人で何十分戦ったよ,NEGATIVE (0.800),0.8,賛成 (0.236),0.236
28,PKの結果は問題じゃないけどPKの内容は大問題なんだよなあ,NEGATIVE (0.918),0.918,強く賛成 (0.264),0.264
29,勝たなくて良かったけど もっと簡単に負けて欲しかった 怪我人出して延長とか,NEGATIVE (0.874),0.874,強く賛成 (0.264),0.264
30,ウデゴとサカの2人が調子良くないと勝てないってことだわな 結局はツーマンチームなんだわ,NEUTRAL (0.356),0.356,賛成 (0.251),0.251
31,After Extra Time Arsenal (387) 11 (033) Man Utd 2試合連続xG38くらいあるんだがな シュート練習しとけ,POSITIVE (0.365),0.365,強く反対 (0.252),0.252
32,それにしても酷い試合だったな 延長含めたら60分1人多かったのにノーゴールだもんな,NEGATIVE (0.715),0.715,賛成 (0.257),0.257
33,勝ったー,POSITIVE (0.424),0.424,強く反対 (0.252),0.252
34,バルサ優勝,POSITIVE (0.278),0.278,強く反対 (0.269),0.269
35,ペレ爺とラポルタの熱い握手,POSITIVE (0.393),0.393,強く反対 (0.253),0.253
36,ありがとう楽しかった,POSITIVE (0.977),0.977,強く反対 (0.283),0.283
37,レアル完敗アンチェ禿げそう,NEGATIVE (0.937),0.937,強く反対 (0.279),0.279
38,アンチェがこのスタメンでいけると思った時点で終わってたな,NEGATIVE (0.025),0.025,強く反対 (0.263),0.263
39,アンチェロッティの学習能力のなさにがっかり 今季のバルサにこれほどやらせるチームもなかなかねーよ もう56敗してるのに,NEGATIVE (0.930),0.93,強く反対 (0.284),0.284
40,今季のクラシコ2戦合計 バルサ92マドリー,NEUTRAL (0.491),0.491,強く反対 (0.261),0.261
41,最近良かったのはセバージョスいて左SBカマですよ野口さん・・・,POSITIVE (0.703),0.703,強く反対 (0.317),0.317
42,たらればだけど退場なかったら何点取られてたか分からんかったな,NEGATIVE (0.810),0.81,強く反対 (0.259),0.259
43,26超えてたかもw,NEUTRAL (0.790),0.79,強く反対 (0.279),0.279
44,カウンターでないと点が取れないレアル・マドリーはむしろバルサが10人になっちゃってだめになった,NEGATIVE (0.921),0.921,強く賛成 (0.261),0.261
45,確かに10人になってからよりチャンスが減った気がするなマドリー バルサが守りに徹するモードに入ったからカウンターが出来なくなった,NEUTRAL (0.031),0.031,強く反対 (0.255),0.255
46,銀メダル授与キタ(゚゚),POSITIVE (0.077),0.077,賛成 (0.231),0.231
47,まさかの素直に銀メダル首にかけたまま外さないマドリー選手w,NEUTRAL (0.254),0.254,強く反対 (0.248),0.248
48,今日のエンバペは凄かったが逆にヴィニシウスが完全空気だった 両方が同時に活躍するのは無理なんか,NEGATIVE (0.641),0.641,強く賛成 (0.243),0.243
49,サウジめっちゃ金かけてんな,POSITIVE (0.336),0.336,強く反対 (0.268),0.268
50,おおおー花火,NEUTRAL (0.700),0.7,強く反対 (0.258),0.258
51,豪華だよね,POSITIVE (0.893),0.893,強く反対 (0.286),0.286
52,お疲れー,NEGATIVE (0.918),0.918,強く反対 (0.286),0.286
53,エンバペしかサッカーしてない,NEGATIVE (0.212),0.212,強く反対 (0.305),0.305
54,アーノルドとデイビス取って勝つか負けるか1試合合計8点のエンタメファンタジーサッカーを見てみたいとも思ってくる,POSITIVE (0.886),0.886,強く反対 (0.275),0.275
55,5点で済んで良かったやん ようやった,POSITIVE (0.914),0.914,強く反対 (0.268),0.268
56,べリンガムが珍しく良くなかったな 疲れてるのか戦意喪失したのか エンバぺとフェデは良かったわ もうほんとチュアメニとメンディ見るのしんどい,NEGATIVE (0.730),0.73,強く反対 (0.262),0.262
57,まとめ ペレス老化 補強おかしい アンチェ老化 旧いサッカー TOできない チュアメニ・メンディー マドリーレベルじゃない不良品 バスケス おじいちゃん リュティガー 及第点 バルベルデ ベリンガム カマヴィンガ 連戦で疲れ気味 ヴィニ 気持ち制御できないからいらないイエローもらって交代 ロドリゴ 英雄になりそこねるけど それがロドリゴ エムバペ 圧巻 いつものマドリーだな,POSITIVE (0.115),0.115,強く反対 (0.246),0.246
58,アンチェロッティ解任するか次の試合からアセンシオスタメンにして右SBもカンテラから試すならこの試合にも意味がある 何も変わらないならまじで今季は見る必要ないわ,NEUTRAL (0.907),0.907,強く反対 (0.257),0.257
59,それが出来るなら前のクラシコ負けたあとにやってる 何の修正も出来てないからこの体たらくなんだよ,NEGATIVE (0.684),0.684,強く反対 (0.277),0.277
60,審判公平だったんだな,POSITIVE (0.297),0.297,強く反対 (0.269),0.269
61,予想通りボコられて終了したやん アセンシオ使わないチュアメニバスケスの時点で負け確定なんだよな,NEGATIVE (0.402),0.402,強く反対 (0.285),0.285
62,ヴィニシウスは左SHみたいな事やらされてたからなぁ もうちょい前じゃないと全然恐くない ってかエムバペ軸にするなら売って補強費に充てた方が良いんだけど買える所なんて限られて来るよな,NEGATIVE (0.637),0.637,強く反対 (0.291),0.291
63,前回4点今回5点も取られててるのは監督のゲームプランの失敗 ラリーガ下位でもほとんどが5点も取られてないのにアンチェは完全にフリックバルサの鴨だな アンチェとフリックが監督やってる間はマドリー守備陣に良い選手揃えても勝てない気がするわ,NEGATIVE (0.861),0.861,強く反対 (0.267),0.267
64,アンチェロッティは選手の心を掴むのはクソ上手い でも昔から戦略戦術は選手任せでスタメン固定したがるのは変わらん,NEUTRAL (0.522),0.522,強く反対 (0.273),0.273
65,まあ選手たちのコンディションが超絶悪かったな アンチェが選手固定してターンオーバーしないからだな もう監督変えた方がいいよ,NEGATIVE (0.666),0.666,強く反対 (0.278),0.278
66,チュアメニの守備も軽かったな 本職じゃないとはいえあれは無いわ まあ疲労のせいだと言われればそうかも知れんが,NEGATIVE (0.620),0.62,強く反対 (0.260),0.26
67,リーガでバルサを攻略したクラブのように先制したんだから後はドン引きカウンターでよかったのにな どうしてあんなオープンな展開になってしまったのか,NEGATIVE (0.964),0.964,強く賛成 (0.244),0.244
68,ムバッペはマジで良かった 泥臭くチームのために体も張りまくるし やっぱおまえすげぇよ愛してる,POSITIVE (0.942),0.942,強く反対 (0.259),0.259
69,ムバッペは良かったな 1人で何かやってくれそうな雰囲気はあったわ,POSITIVE (0.953),0.953,強く反対 (0.277),0.277
70,ウォーカーこの冬で出てくのか ウォーカーとベルナルドはトレブル後にギュンドアンと一緒に出すべきだったよね,NEUTRAL (0.117),0.117,強く反対 (0.278),0.278
71,サウジに行くのかウォーカー,NEUTRAL (0.908),0.908,強く反対 (0.277),0.277
72,ウォーカーは批判に耐えれなくて自分から出て行くって感じなんかな 相当中で色々あったんだろうけど意外と打たれ弱かったな,NEGATIVE (0.852),0.852,強く賛成 (0.285),0.285
73,ギュン然りウォーカー然りおっさんの去就の見極めって大事だな,POSITIVE (0.942),0.942,賛成 (0.282),0.282
74,ウォーカーはミラン行きかもしれないんか,NEUTRAL (0.992),0.992,強く反対 (0.298),0.298
75,ACミランはカイル・ウォーカーを新右サイドバックとして獲得するための交渉を開始した [ ] さらばウォーカー,POSITIVE (0.619),0.619,強く反対 (0.246),0.246
76,ウォーカーって心のクラブがシェフィールドで最後は戻りたいって 言ってなかったか海外行くのか,NEUTRAL (0.785),0.785,強く反対 (0.293),0.293
77,シェフィールドに戻る前に一回海外行きたいんじゃね,POSITIVE (0.030),0.03,強く反対 (0.287),0.287
78,ウォーカーはコンディションも上がってこないし心折れたのかな 奥さんとの問題も抱えてそうだし出ていきたいのかな,NEGATIVE (0.454),0.454,強く反対 (0.270),0.27
79,ウォーカーがダメになったのは家庭ぶっ壊して集中できなくなったのもデカかっただろうしね 心機一転よそで頑張ってみるのもいいんじゃね,POSITIVE (0.696),0.696,強く賛成 (0.265),0.265
80,そもそもバイエルン行くかってときも出場機会の他に二重家庭問題から逃げるためでもあったんやろペップが寿司面談で残したけど,NEUTRAL (0.730),0.73,強く反対 (0.277),0.277
81,奥さんウォーカーとの離婚調停一旦停止したようやが,NEUTRAL (0.980),0.98,強く反対 (0.294),0.294
82,結婚したシーズンにはすでにウォーカーなんか衰えてきてたじゃん,NEGATIVE (0.893),0.893,強く賛成 (0.250),0.25
83,まあウォーカーはよくやってくれたよ 50mでスパーズからぶっこ抜いてきた時は興奮したよなぁ 間違いのない補強だったからね 8シーズン居て結局週給も200k超えることなく頑張ってくれた ありがてえよ,POSITIVE (0.962),0.962,強く反対 (0.240),0.24
84,ウォーカーが今月限りでのシティ退団を表明したが ACミランと交渉か,NEUTRAL (0.516),0.516,強く反対 (0.292),0.292
85,チェルシーで腐ってた選手たちがミラン行ったら復活したと聞くしウォーカーもまた良くなるかも,POSITIVE (0.927),0.927,強く反対 (0.249),0.249
86,ミランかサウジかみたいやな,NEUTRAL (0.895),0.895,強く反対 (0.262),0.262
87,ダイチ解任してどうすんだエバートン,NEGATIVE (0.076),0.076,強く反対 (0.302),0.302
88,オンスタ来てたね んじゃ誰なんやろ,NEUTRAL (0.469),0.469,強く反対 (0.295),0.295
89,モイーズサウスゲイトフォンセカをベンジェイコブは挙げてるな モイーズが前向きみたいだけど,NEUTRAL (0.057),0.057,強く反対 (0.270),0.27
90,モイーズ帰還はエモいな,POSITIVE (0.492),0.492,強く反対 (0.269),0.269
91,The Last Danceだからエモさ100倍よな そして降格したら笑う,POSITIVE (0.644),0.644,強く反対 (0.257),0.257
92,いつの間にかモイモイとポッターが復活してたw,POSITIVE (0.093),0.093,強く賛成 (0.223),0.223
93,モイーズがプレミアにいるだけで謎の安心感が出てくる,POSITIVE (0.898),0.898,強く賛成 (0.229),0.229
94,あの頃のエバートンは7位が定位置のイメージ トップハーフは当たり前の存在だったな,NEUTRAL (0.681),0.681,強く反対 (0.242),0.242
95,今のエバートンってカルバートルーウィンとゲイエとブランスウェイトとピックフォードしか知らないな 昔と同じく面白い選手が揃ってるんだろうか,POSITIVE (0.590),0.59,強く反対 (0.258),0.258
96,まってたぜモイモイ,POSITIVE (0.791),0.791,強く反対 (0.277),0.277
97,ショーン・ダイチがエバートンの監督解任されたから空いたぞ,POSITIVE (0.228),0.228,強く反対 (0.249),0.249
98,えダイチ切ったの 勝ち点1狙い全振りのサッカーで選手たちは大喜びしていたじゃないか 選手たちに愛される監督を切るなんて,POSITIVE (0.753),0.753,賛成 (0.248),0.248
99,モイモイ,NEGATIVE (0.576),0.576,賛成 (0.279),0.279
100,モイーズって降格圏争いしたくないってインタビューで言ってたけど まぁトフィーズは別か,NEUTRAL (0.637),0.637,強く反対 (0.275),0.275
1,上位目指さなければモイモイの中位力は有能,POSITIVE (0.734),0.734,強く反対 (0.240),0.24
2,モイモイエバートンの新監督に就任,NEUTRAL (0.939),0.939,強く反対 (0.235),0.235
3,王の帰還,POSITIVE (0.963),0.963,強く反対 (0.252),0.252
4,フリードキンデロッシラニエリモイーズってノスタルジー人事多いな ダイシからモイーズなんて期待値的には対して変わらんだろ,NEUTRAL (0.740),0.74,強く反対 (0.269),0.269
5,長期プラン任せたがってるのもラニエリと一緒だわ エヴァートンはモシリも酷かったがフリードキンも大概そう,NEUTRAL (0.960),0.96,強く反対 (0.255),0.255
6,本当にモイーズ復帰すんのかよ 笑ったわ,POSITIVE (0.899),0.899,強く反対 (0.298),0.298
7,ホンマもんの王の帰還や,NEUTRAL (0.200),0.2,強く賛成 (0.250),0.25
8,バルセロナもラッシュフォード獲得のため交渉開始(初期段階)きたー(・・),POSITIVE (0.207),0.207,強く反対 (0.289),0.289
9,ラッシュ人気すぎるだろ アモさんはこんな至宝を手放していいのか いくら戦術家でもスターを手なずけられないと監督としては1流になれないぞ,NEGATIVE (0.683),0.683,強く反対 (0.271),0.271
10,どうせ買取はないだろうしラッシュとデヨングの交換が1番良さそう,POSITIVE (0.768),0.768,強く反対 (0.253),0.253
11,バルサってダニオルモの登録は出来ないけど Vip席だか売ったから冬に選手登録出来るんだよな お互いの給与負担でラッシュとレンタルしてくれないかな あとカゼミロあたりを売ってアルバロ買い戻してくれたら1桁順位でフィニッシュ出来るんじゃないか,POSITIVE (0.835),0.835,強く反対 (0.264),0.264
12,オルモは登録できない場合は無所属なんだから給与の相互負担なんてありえないよ バルサに関係ない選手になるんだから,NEGATIVE (0.039),0.039,強く反対 (0.258),0.258
13,ラッシュフォードクラスの選手が邪魔だから追い出されるとか滅多にないからな 給与負担させて補強できる神物件だろ,POSITIVE (0.926),0.926,強く反対 (0.264),0.264
14,出る喜びされちゃう・・・,POSITIVE (0.969),0.969,強く反対 (0.285),0.285
15,ラッシュもCL出場クラブにステップアップできそうやな,POSITIVE (0.840),0.84,強く反対 (0.250),0.25
16,アーセナルもラッシュに問い合わせ ラッシュマジで換金できそうで胸熱,POSITIVE (0.851),0.851,強く反対 (0.241),0.241
17,ラッシュが20mぐらいで売れたら100m級の選手補強出来るんだからなんとかして早よ売れ,POSITIVE (0.872),0.872,強く反対 (0.285),0.285
18,冬に買うところはなさそうです,NEGATIVE (0.464),0.464,強く反対 (0.271),0.271
19,ユナイテッドラッシュを20mで売るとかありえん50mは要求する,NEUTRAL (0.821),0.821,強く賛成 (0.241),0.241
20,2500万ポンドくらいで売れて欲しい,POSITIVE (0.813),0.813,強く反対 (0.275),0.275
21,ラッシュはどれだけ問い合わせがあると聞いても結局残留してる予感しかない 残留ポエムを書いて終わりそうな気がする,NEGATIVE (0.468),0.468,強く反対 (0.300),0.3
22,クヴァラ噂あるんだな 左のイメージしかないけど右出来るんか,NEUTRAL (0.731),0.731,強く反対 (0.286),0.286
23,前線の噂出てるけど普通に中盤と左サイドバック補強してくれ,NEUTRAL (0.348),0.348,強く反対 (0.280),0.28
24,クヴァラいい選手だけど左は誰か売らんと ぶっちゃけシティとかアーセナルのが すぐに必要としてないか,NEUTRAL (0.509),0.509,強く反対 (0.281),0.281
25,オンスタもロマーノもクバラツへリア報道してるから信憑性有るね キエーザ含めた取引らしい,NEUTRAL (0.190),0.19,強く反対 (0.261),0.261
26,ディアスが本格的にCF扱いになれば左はガクポしかいなくなるし来季からはクヴァラとママルダジョージアコンビがリバプールを牽引するのだ,NEUTRAL (0.230),0.23,強く反対 (0.248),0.248
27,PSGは年俸4倍増でオファーとか クヴァラ取れるわけなくて草,NEUTRAL (0.112),0.112,強く反対 (0.283),0.283
28,クヴァラ獲れたら久しぶりのビッグディールだしな 決められるならヒューズの株も一気に上がるけど果たしてどうなるか まぁ代案として既にギッテンスの話も出てるから個人的にはそっちでもいいし左WGは市場にたくさん出てきそうではあるから静観,NEUTRAL (0.527),0.527,強く反対 (0.274),0.274
29,SBや怪我人出てるCB取らずに前線取るということは守備捨てて殴り合いしたいのか まあキエーザがクヴァラに変わるなら大賛成だな,NEUTRAL (0.047),0.047,強く反対 (0.293),0.293
30,クバラツへリアの年俸はナポリでも最下層でディアスの週給55k以下 その4倍ならレッズにも払える キエーザに15k払ってんだから,NEUTRAL (0.461),0.461,強く反対 (0.266),0.266
31,クヴァラツヘリアより信頼度高めなアトレティコ産クーニャがいいなぁ,POSITIVE (0.811),0.811,強く反対 (0.328),0.328
32,根本的に選手の評価は代表でみるのが正解 ガクポに始まりソボスライなど代表で凄くみえるやつは質が高いし逆にフォーデンなど代表でさっぱりのやつは微妙 クヴァラやムシアラは代表みる限りはガチで他にはマヌコネなんかはガチだったからローマにもっていかれたのは残念だったなと,NEGATIVE (0.839),0.839,強く反対 (0.284),0.284
33,何のためにキエーザ取ったのか意味不だったけどクヴァラツヘリアとスワップするためだったてコト だとしたら有能,POSITIVE (0.874),0.874,強く反対 (0.250),0.25
34,今調べてクヴァラツヘリアがまだ23歳なことに衝撃を受けた じゃあナポリがスクデット取って話題になってた時って21歳くらいだったってことかよ それで怪我歴も無いしキエーザとトレード出来たら上手い話にも程がある,POSITIVE (0.773),0.773,強く反対 (0.302),0.302
35,21であのヒゲだったのかよ,NEUTRAL (0.866),0.866,強く反対 (0.282),0.282
36,まぁクヴァラを2年前しか知らん奴多いだろうな 今はカットインしかないなバレて対策されてんだけど 欠点はビルドアップに参加するのが苦手 縦のスピードの無さ ミドルシュートが苦手,NEGATIVE (0.930),0.93,強く反対 (0.274),0.274
37,CB取るのも急務だと思うけどサラー不調から得点力不足に陥って勝ちきれないのが1番可能性ある失速パターンだから前線の火力上げるのは賛成 溜めを作れて周りも使えるクヴァラツヘリアならツィミカスやヌニェスも生きそう まあ取れたらの話だけどPSGと争いならすぐ撤退しそう,NEUTRAL (0.204),0.204,強く反対 (0.247),0.247
38,直近のユーロとコパみて誰が優れてたかが確実な情報 クヴァラとムシアラとレオンとガクポが左WGだとかなり目立ってたのは印象的だったな,NEUTRAL (0.238),0.238,強く反対 (0.270),0.27
39,クヴァラの一生懸命な感じはリバプールっぽいぞ まあキエーザもそうなんだが,NEUTRAL (0.969),0.969,強く反対 (0.279),0.279
40,フォレストやユナイテッドみたいに固められた時に必要かも サラーもディアスもデュエル完敗して何も出来ないままカウンター喰らって失点してポイント落とす 相手のガチムチDFが容易に飛び込めないような独特の間合い持ってる選手いるとプレミア特有の前に圧かけてくるガチムチブロックを撤退させられるのはデカい シティのウイングが仕掛けないとか馬鹿にされてるけどグリーリッシュみたいなの1人は欲しいわそれがクヴァラツヘリアに期待すること,NEUTRAL (0.093),0.093,強く反対 (0.256),0.256
41,クヴァラ調べたら年末にハム負傷中してるじゃん,NEGATIVE (0.987),0.987,強く反対 (0.275),0.275
42,ドリブルはガクポみても分かるように緩急が全てだからな 速度で抜くのはドクタイプだけどワンパ化するから結構読まれて微妙でドークが中々パッとしなかったのも当時はボール持って速度で縦に抜くしかできなかったから(今は結構相手のDFとボール止めて駆け引きするようになって良くなった) クヴァラはユーロみてるやつなら分かるはずだがドリブルが凄まじくて滅茶苦茶目立っていたのでまぁ30も確率はないだろうが万が一来るなら大歓迎だぞ,NEUTRAL (0.055),0.055,強く反対 (0.249),0.249
43,クヴァラツヘリアは加速と緩急がすげぇよ,POSITIVE (0.901),0.901,強く反対 (0.312),0.312
44,それがそうでもないから一人抜いたタイミングでカバー来られると終わるのがバレた,NEGATIVE (0.427),0.427,強く反対 (0.261),0.261
45,1人抜けるなら十分すぎるわけで1対2で勝ちましょうなんていうやつは頭がおかしいし常にそれをやらせてるチームはもっと頭がおかしい 相手がサポート来るならこちらもサポートがあるわけで1人抜いてくれたらこちらのサポート合わせて2対1なわけでその時点でもう勝っている,POSITIVE (0.948),0.948,賛成 (0.267),0.267
46,マーモウシュの方が見たいがクヴァラでも来たら嬉しいよ まあ1番はそんなん置いといてLSBとCBで使えるハト連れてこい,POSITIVE (0.938),0.938,強く反対 (0.275),0.275
47,マーモウシュはシティクヴァラはパリと交渉中でまあ無いよね 俺もハトみたいなタイプが1番欲しいけどこのチームずっと注視してるだけで終わりだらな,NEGATIVE (0.252),0.252,強く反対 (0.270),0.27
48,PSGはWG困ってないし45mしか提示できてないから多分クヴァラ買えなさそうかも こうなってくるとキエーザを交渉材料に出せるリバプールがクラブ間はだいぶ有利になるかもねぇ,NEUTRAL (0.529),0.529,強く反対 (0.265),0.265
49,キエーザが来たとき新しいFWが見れるつってワクワクしたし(結局見れず)見たいなクヴァラツヘリア サラーが停滞した時のために前線の使える手札は多ければ多いほどいい,POSITIVE (0.864),0.864,強く反対 (0.283),0.283
50,クヴァラツヘリア来るんか,POSITIVE (0.390),0.39,強く反対 (0.275),0.275
51,ナポリPSGはカバーニ以来か,NEUTRAL (0.603),0.603,強く反対 (0.271),0.271
52,筑波大学 佐藤瑠星選手 2026シーズン新加入内定のお知らせ,POSITIVE (0.624),0.624,強く反対 (0.260),0.26
53,キタ(゚゚) 結局噂垢の今年入団はガセだったのね 一般大学生にまで迷惑かけてほんと害悪,NEGATIVE (0.984),0.984,強く反対 (0.251),0.251
54,佐藤きたああああああああああああああああああああああああ,POSITIVE (0.784),0.784,強く反対 (0.284),0.284
55,大津筑波だから俺たちの車屋の後輩か,NEUTRAL (0.878),0.878,強く反対 (0.276),0.276
56,今年からじゃなくて来年からか,NEUTRAL (0.882),0.882,強く反対 (0.256),0.256
57,西川は今年までかな来年佐藤との入れ替わりになるとかなのかな,NEUTRAL (0.851),0.851,強く反対 (0.269),0.269
